Lionel Messi,,,,,
Season,Team,Goals,Assists,Y cards,R Cards
21/22,Paris Saint German,-,-,-,-
20/21,"F.C, Barcellona",30,9,4,-
19/20,"F.C, Barcellona",25,20,4,-
18/19,"F.C, Barcellona",36,13,3,-
17/18,"F.C, Barcellona",34,12,3,-
16/17,"F.C, Barcellona",37,9,6,-
15/16,"F.C, Barcellona",26,14,3,-
14/15,"F.C, Barcellona",43,18,4,-
13/14,"F.C, Barcellona",28,11,2,-
2012/13,"F.C, Barcellona",46,-,1,-
2011/12,"F.C, Barcellona",50,-,6,-
2010/11,"F.C, Barcellona",31,-,3,-
2009/10,"F.C, Barcellona",34,-,3,-
2008/09,"F.C, Barcellona",23,-,2,-
2007/08,"F.C, Barcellona",10,-,2,-
2006/07,"F.C, Barcellona",14,-,2,-
2005/06,"F.C, Barcellona",6,-,2,-
2004/05,"F.C, Barcellona",1,-,-,-
